NOME,PRODUTTORE,ANNO,PROVENIENZA,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
ARMONIOSO,Nobilvini&Dal Fiume,,EMILIA ROMAGNA,"€1,70","€2,21",0,"€0,00"
ARNEIS,Almondo Giovanni,,PIEMONTE,"€7,40","€9,62",0,"€0,00"
ARNEIS,Montaribaldi,,PIEMONTE,"€6,70","€8,71",18,"€120,60"
ARNEIS,Porello,,PIEMONTE,"€5,90","€7,67",6,"€35,40"
ARNEIS,Bel Colle,,PIEMONTE,"€7,00","€9,10",6,"€42,00"
ARNEIS,Deltetto,,PIEMONTE,"€7,10","€9,23",0,"€0,00"
ARNEIS,Grimaldi Bruna,2020,PIEMONTE,"€7,75","€10,08",0,"€0,00"
ARNEIS,Giacosa Falletto,2022,PIEMONTE,"€14,50","€18,85",0,"€0,00"
ARNEIS,Carretta,2011,PIEMONTE,"€5,00","€6,50",0,"€0,00"
ARNIONE,Campo Alla Sughera,2014,TOSCANA,"€21,00","€27,30",0,"€0,00"
ARNIONE ',Campo Alla Sughera,,TOSCANA,"€25,00","€32,50",0,"€0,00"
ARROCCO 22,Zerbina,,EMILIA ROMAGNA,"€16,20","€21,06",0,"€0,00"
ARROCCO 23,Zerbina,,EMILIA ROMAGNA,"€16,20","€21,06",30,"€486,00"
ARROCCO MAGNUM,Zerbina,,EMILIA ROMAGNA,"€39,60","€51,48",0,"€0,00"
ARRUGA,Sardus Pater,,SARDEGNA,"€19,00","€24,70",0,"€0,00"
ARTE,Clerico D:,2001,PIEMONTE,"€16,00","€20,80",0,"€0,00"
ASAJÈ CARIGNANO,Capichera,2004,SARDEGNA,"€11,50","€14,95",0,"€0,00"
ASPRINIO AVERSA,Tenuta Fontana,,CAMPANIA,"€12,00","€15,60",0,"€0,00"
ASSYRTIKO,Argyros,,GRECIA,"€22,90","€29,77",0,"€0,00"
ASTI LA SELVATICA,Dogliotti,,PIEMONTE,"€6,30","€8,19",66,"€415,80"
ASTI MAGNUM,Dogliotti,,PIEMONTE,"€13,00","€16,90",0,"€0,00"
ASTULA,Mussura,,SARDEGNA,"€10,75","€13,98",12,"€129,00"
ATHESIS BRUT,Kettmaier,,ALTO ADIGE,"€14,70","€19,11",0,"€0,00"
ATHESIS BRUT ROSÈ,Kettmaier,,ALTO ADIGE,"€16,00","€20,80",12,"€192,00"
ATTO,Cant.Notaio,,BASILICATA,"€7,20","€9,36",0,"€0,00"
AULENTE BIANCO,San Patrignano,,EMILIA ROMAGNA,"€4,00","€5,20",0,"€0,00"
AUREUS,Niedermaier,,ALTO ADIGE,"€20,00","€26,00",0,"€0,00"
AURORA ROSÈ MILLESIMATO,Bonfadini,,LOMBARDIA,"€30,00","€39,00",4,"€120,00"
AUXEY DURESSES,Goichot,,FRANCIA,"€22,00","€28,60",0,"€0,00"
AVI,San Patrignano,,EMILIA ROMAGNA,"€9,90","€12,87",0,"€0,00"
AVIZE BLANC DE BLANC,Jacquesson,1997,CHAMPAGNE,"€48,00","€62,40",0,"€0,00"
AVVOLTORE,Morisfarms,2013,TOSCANA,"€19,00","€24,70",0,"€0,00"
AVVOLTORE MAGNUM,Morisfarms,2004,TOSCANA,"€39,00","€50,70",0,"€0,00"
AVVOLTORE MEZZE,Morisfarms,2007,TOSCANA,"€9,90","€12,87",0,"€0,00"
AY VAUZELLE TERME 08-09,Jacquesson,,CHAMPAGNE,"€131,80","€171,34",0,"€0,00"
AYALA MAJEUR MAGNUM,Ayala,,CHAMPAGNE,"€46,00","€59,80",0,"€0,00"
AYALA NATURE,Ayala,,CHAMPAGNE,"€32,00","€41,60",0,"€0,00"
B/B ELOQUENCE,Vergnon,,CHAMPAGNE,"€30,00","€39,00",0,"€0,00"
B/B MESNIL,Charlemagne,,CHAMPAGNE,"€34,00","€44,20",0,"€0,00"
B/B NON DOSATO,Doyard,,CHAMPAGNE,"€50,00","€65,00",0,"€0,00"
B/BLANC,Roederer,,CHAMPAGNE,"€55,00","€71,50",0,"€0,00"
BACCANO,Giannini,,TOSCANA,"€14,40","€18,72",0,"€0,00"
BALLADE DE LA POINTE,Bordeaux,,DUBOS,"€19,00","€24,70",0,"€0,00"
BALLU TUNDU CANNONAU,Sedilesu,,SARDEGNA,"€16,50","€21,45",0,"€0,00"
BALTER BRUT,Balter,,TRENTINO,"€9,95","€12,94",0,"€0,00"
BALTER RISERVA MILL.,Balter,,TRENTINO,"€15,00","€19,50",0,"€0,00"
BALTER ROSATO,Balter,,TRENTINO,"€12,70","€16,51",0,"€0,00"
BANDOL,Pibarnon,,FRANCIA,"€21,50","€27,95",0,"€0,00"
